f,data,prd,RE,symbol,units,description,prd_f1
1,29,29,1.178e-05,tg,d,gestation time,29
1,23,23.02,0.0009133,tx,d,time since birth at weaning,23.02
1,75,75.04,0.0005957,tp,d,time since birth at puberty,75.04
1,1460,1460,4.982e-05,am,d,life span,1460
1,0.945,0.9915,0.04918,Wwb,g,wet weight at birth,0.9915
1,7.7,7.688,0.001503,Wwx,g,wet weight at weaning,7.688
1,11.6,11.49,0.009709,Wwi,g,ultimate wet weight,11.49
1,0.03836,0.03841,0.001335,Ri,#/d,maximum reprod rate,0.03841
0.99,29,29,1.178e-05,tg,d,gestation time,29
0.99,23,23.27,0.01179,tx,d,time since birth at weaning,23.02
0.99,75,76.92,0.02566,tp,d,time since birth at puberty,75.04
0.99,1460,1475,0.01051,am,d,life span,1460
0.99,0.945,0.9833,0.04049,Wwb,g,wet weight at birth,0.9915
0.99,7.7,7.513,0.02431,Wwx,g,wet weight at weaning,7.688
0.99,11.6,11.05,0.04708,Wwi,g,ultimate wet weight,11.49
0.99,0.03836,0.03689,0.03816,Ri,#/d,maximum reprod rate,0.03841
0.98,29,29,1.178e-05,tg,d,gestation time,29
0.98,23,23.53,0.02308,tx,d,time since birth at weaning,23.02
0.98,75,78.92,0.05229,tp,d,time since birth at puberty,75.04
0.98,1460,1491,0.02099,am,d,life span,1460
0.98,0.945,0.9751,0.0318,Wwb,g,wet weight at birth,0.9915
0.98,7.7,7.338,0.04705,Wwx,g,wet weight at weaning,7.688
0.98,11.6,10.63,0.08338,Wwi,g,ultimate wet weight,11.49
0.98,0.03836,0.03539,0.07721,Ri,#/d,maximum reprod rate,0.03841
0.97,29,29,1.178e-05,tg,d,gestation time,29
0.97,23,23.8,0.03482,tx,d,time since birth at weaning,23.02
0.97,75,81.05,0.08062,tp,d,time since birth at puberty,75.04
0.97,1460,1506,0.03149,am,d,life span,1460
0.97,0.945,0.9668,0.02311,Wwb,g,wet weight at birth,0.9915
0.97,7.7,7.163,0.06972,Wwx,g,wet weight at weaning,7.688
0.97,11.6,10.22,0.1186,Wwi,g,ultimate wet weight,11.49
0.97,0.03836,0.03391,0.1158,Ri,#/d,maximum reprod rate,0.03841
0.96,29,29,1.178e-05,tg,d,gestation time,29
0.96,23,24.08,0.04702,tx,d,time since birth at weaning,23.02
0.96,75,83.31,0.1108,tp,d,time since birth at puberty,75.04
0.96,1460,1521,0.04201,am,d,life span,1460
0.96,0.945,0.9586,0.01443,Wwb,g,wet weight at birth,0.9915
0.96,7.7,6.989,0.09231,Wwx,g,wet weight at weaning,7.688
0.96,11.6,9.827,0.1529,Wwi,g,ultimate wet weight,11.49
0.96,0.03836,0.03245,0.1539,Ri,#/d,maximum reprod rate,0.03841
0.95,29,29,1.178e-05,tg,d,gestation time,29
0.95,23,24.37,0.05972,tx,d,time since birth at weaning,23.02
0.95,75,85.73,0.1431,tp,d,time since birth at puberty,75.04
0.95,1460,1537,0.05254,am,d,life span,1460
0.95,0.945,0.9504,0.005739,Wwb,g,wet weight at birth,0.9915
0.95,7.7,6.816,0.1148,Wwx,g,wet weight at weaning,7.688
0.95,11.6,9.441,0.1861,Wwi,g,ultimate wet weight,11.49
0.95,0.03836,0.03101,0.1916,Ri,#/d,maximum reprod rate,0.03841
0.94,29,29,1.178e-05,tg,d,gestation time,29
0.94,23,24.68,0.07294,tx,d,time since birth at weaning,23.02
0.94,75,88.32,0.1776,tp,d,time since birth at puberty,75.04
0.94,1460,1552,0.06308,am,d,life span,1460
0.94,0.945,0.9422,0.00295,Wwb,g,wet weight at birth,0.9915
0.94,7.7,6.643,0.1372,Wwx,g,wet weight at weaning,7.688
0.94,11.6,9.067,0.2183,Wwi,g,ultimate wet weight,11.49
0.94,0.03836,0.02958,0.2289,Ri,#/d,maximum reprod rate,0.03841
0.93,29,29,1.178e-05,tg,d,gestation time,29
