f,data,prd,RE,symbol,units,description,prd_f1
1,13,13.28,0.02161,ab,d,age at birth,13.28
1,11,10.98,0.001703,tx,d,time since birth at fledging,10.98
1,33,33.26,0.007838,tp,d,time since birth at puberty,33.26
1,365,365,0,tR,d,time since birth at 1st brood,365
1,3212,3203,0.002819,am,d,life span,3203
1,1,0.9911,0.00886,Wwb,g,wet weight at birth,0.9911
1,18,18.04,0.002309,Wwi,g,ultimate wet weight,18.04
1,0.01644,0.0165,0.003861,Ri,#/d,maximum reprod rate,0.0165
0.9,13,13.39,0.03006,ab,d,age at birth,13.28
0.9,11,12.35,0.123,tx,d,time since birth at fledging,10.98
0.9,33,49.08,0.4872,tp,d,time since birth at puberty,33.26
0.9,365,365,0,tR,d,time since birth at 1st brood,365
0.9,3212,3687,0.148,am,d,life span,3203
0.9,1,0.8953,0.1047,Wwb,g,wet weight at birth,0.9911
0.9,18,12,0.3334,Wwi,g,ultimate wet weight,18.04
0.9,0.01644,0.005255,0.6803,Ri,#/d,maximum reprod rate,0.0165
0.99,13,13.29,0.02238,ab,d,age at birth,13.28
0.99,11,11.09,0.008497,tx,d,time since birth at fledging,10.98
0.99,33,34.14,0.03458,tp,d,time since birth at puberty,33.26
0.99,365,365,0,tR,d,time since birth at 1st brood,365
0.99,3212,3249,0.01151,am,d,life span,3203
0.99,1,0.9816,0.01844,Wwb,g,wet weight at birth,0.9911
0.99,18,17.35,0.03599,Wwi,g,ultimate wet weight,18.04
0.99,0.01644,0.01533,0.06714,Ri,#/d,maximum reprod rate,0.0165
0.98,13,13.3,0.02316,ab,d,age at birth,13.28
0.98,11,11.21,0.01912,tx,d,time since birth at fledging,10.98
0.98,33,35.11,0.06387,tp,d,time since birth at puberty,33.26
0.98,365,365,0,tR,d,time since birth at 1st brood,365
0.98,3212,3296,0.02602,am,d,life span,3203
0.98,1,0.972,0.02801,Wwb,g,wet weight at birth,0.9911
0.98,18,16.68,0.07319,Wwi,g,ultimate wet weight,18.04
0.98,0.01644,0.01418,0.1376,Ri,#/d,maximum reprod rate,0.0165
0.97,13,13.31,0.02397,ab,d,age at birth,13.28
0.97,11,11.33,0.03018,tx,d,time since birth at fledging,10.98
0.97,33,36.17,0.09615,tp,d,time since birth at puberty,33.26
0.97,365,365,0,tR,d,time since birth at 1st brood,365
0.97,3212,3343,0.04071,am,d,life span,3203
0.97,1,0.9624,0.03759,Wwb,g,wet weight at birth,0.9911
0.97,18,16.03,0.1093,Wwi,g,ultimate wet weight,18.04
0.97,0.01644,0.01303,0.2074,Ri,#/d,maximum reprod rate,0.0165
0.96,13,13.32,0.02479,ab,d,age at birth,13.28
0.96,11,11.46,0.04173,tx,d,time since birth at fledging,10.98
0.96,33,37.36,0.132,tp,d,time since birth at puberty,33.26
0.96,365,365,0,tR,d,time since birth at 1st brood,365
0.96,3212,3390,0.05556,am,d,life span,3203
0.96,1,0.9528,0.04717,Wwb,g,wet weight at birth,0.9911
0.96,18,15.4,0.1443,Wwi,g,ultimate wet weight,18.04
0.96,0.01644,0.01189,0.2767,Ri,#/d,maximum reprod rate,0.0165
0.95,13,13.33,0.02562,ab,d,age at birth,13.28
0.95,11,11.59,0.05378,tx,d,time since birth at fledging,10.98
0.95,33,38.68,0.1721,tp,d,time since birth at puberty,33.26
0.95,365,365,0,tR,d,time since birth at 1st brood,365
0.95,3212,3439,0.07058,am,d,life span,3203
0.95,1,0.9432,0.05676,Wwb,g,wet weight at birth,0.9911
0.95,18,14.79,0.1783,Wwi,g,ultimate wet weight,18.04
