f,data,prd,RE,symbol,units,description,prd_f1
1,912.5,741.8,0.1871,tp,d,time since birth at puberty,741.8
1,5840,5843,0.0004312,am,d,life span,5843
1,2.41,2.352,0.02417,Lb,cm,SVL at hatching,2.352
1,4.42,5.35,0.2103,Lp,cm,SVL at puberty for females,5.35
1,4.99,4.992,0.0004384,Lpm,cm,SVL at puberty for males,4.992
1,6.683,6.457,0.03382,Li,cm,ultimate SVL for females,6.457
1,6.223,6.337,0.01831,Lim,cm,ultimate SVL for males,6.337
1,0.98,0.994,0.01428,Ww0,g,wet weight of eggs,0.994
1,0.36,0.2705,0.2485,Wwb,g,wet weight of hatchlings,0.2705
1,5.078,5.599,0.1026,Wwi,g,ultimate wet weight,5.599
1,5.95,6.049,0.01665,Wwim,g,ultimate wet weight for males,6.049
1,0.0274,0.02474,0.09715,Ri,#/d,maximum reprod rate,0.02474
0.99,912.5,757.5,0.1699,tp,d,time since birth at puberty,741.8
0.99,5840,5843,0.0004692,am,d,life span,5843
0.99,2.41,2.351,0.02429,Lb,cm,SVL at hatching,2.352
0.99,4.42,5.336,0.2072,Lp,cm,SVL at puberty for females,5.35
0.99,4.99,4.98,0.001905,Lpm,cm,SVL at puberty for males,4.992
0.99,6.683,6.392,0.04348,Li,cm,ultimate SVL for females,6.457
0.99,6.223,6.274,0.008127,Lim,cm,ultimate SVL for males,6.337
0.99,0.98,0.9921,0.01233,Ww0,g,wet weight of eggs,0.994
0.99,0.36,0.2684,0.2544,Wwb,g,wet weight of hatchlings,0.2705
0.99,5.078,5.393,0.06197,Wwi,g,ultimate wet weight,5.599
0.99,5.95,5.826,0.02087,Wwim,g,ultimate wet weight for males,6.049
0.99,0.0274,0.02355,0.1405,Ri,#/d,maximum reprod rate,0.02474
0.98,912.5,774.1,0.1517,tp,d,time since birth at puberty,741.8
0.98,5840,5843,0.000506,am,d,life span,5843
0.98,2.41,2.351,0.02442,Lb,cm,SVL at hatching,2.352
0.98,4.42,5.321,0.2039,Lp,cm,SVL at puberty for females,5.35
0.98,4.99,4.968,0.004309,Lpm,cm,SVL at puberty for males,4.992
0.98,6.683,6.328,0.05315,Li,cm,ultimate SVL for females,6.457
0.98,6.223,6.21,0.002056,Lim,cm,ultimate SVL for males,6.337
0.98,0.98,0.9902,0.01039,Ww0,g,wet weight of eggs,0.994
0.98,0.36,0.2663,0.2602,Wwb,g,wet weight of hatchlings,0.2705
0.98,5.078,5.192,0.02245,Wwi,g,ultimate wet weight,5.599
0.98,5.95,5.609,0.05735,Wwim,g,ultimate wet weight for males,6.049
0.98,0.0274,0.02238,0.1832,Ri,#/d,maximum reprod rate,0.02474
0.97,912.5,791.6,0.1325,tp,d,time since birth at puberty,741.8
0.97,5840,5843,0.0005422,am,d,life span,5843
0.97,2.41,2.351,0.02454,Lb,cm,SVL at hatching,2.352
0.97,4.42,5.306,0.2005,Lp,cm,SVL at puberty for females,5.35
0.97,4.99,4.956,0.006775,Lpm,cm,SVL at puberty for males,4.992
0.97,6.683,6.263,0.06281,Li,cm,ultimate SVL for females,6.457
0.97,6.223,6.147,0.01224,Lim,cm,ultimate SVL for males,6.337
0.97,0.98,0.9883,0.00845,Ww0,g,wet weight of eggs,0.994
0.97,0.36,0.2642,0.266,Wwb,g,wet weight of hatchlings,0.2705
0.97,5.078,4.997,0.01597,Wwi,g,ultimate wet weight,5.599
0.97,5.95,5.398,0.09281,Wwim,g,ultimate wet weight for males,6.049
0.97,0.0274,0.02123,0.2251,Ri,#/d,maximum reprod rate,0.02474
0.96,912.5,810.1,0.1122,tp,d,time since birth at puberty,741.8
0.96,5840,5843,0.0005777,am,d,life span,5843
0.96,2.41,2.351,0.02467,Lb,cm,SVL at hatching,2.352
0.96,4.42,5.291,0.1971,Lp,cm,SVL at puberty for females,5.35
0.96,4.99,4.944,0.009307,Lpm,cm,SVL at puberty for males,4.992
0.96,6.683,6.199,0.07247,Li,cm,ultimate SVL for females,6.457
0.96,6.223,6.083,0.02242,Lim,cm,ultimate SVL for males,6.337
