f,data,prd,RE,symbol,units,description,prd_f1
1,35,35.16,0.004516,ab,d,age at birth,35.16
1,45.75,38.97,0.1481,tj,d,time since birth at metam,38.97
1,1095,1001,0.08587,tp,d,time since metam at puberty,1001
1,5110,5070,0.007789,am,d,life span,5070
1,1.5,2.021,0.3476,Lj,cm,body length at metam,2.021
1,9,9.226,0.02511,Li,cm,ultimate body length,9.226
1,0.05,0.04567,0.08658,Wwb,g,wet weight at birth,0.04567
1,68.6,75.34,0.09831,Wwi,g,ultimate wet weight,75.34
1,4.11,3.879,0.0561,Ri,#/d,maximum reprod rate,3.879
0.99,35,35.17,0.004794,ab,d,age at birth,35.16
0.99,45.75,39.05,0.1465,tj,d,time since birth at metam,38.97
0.99,1095,1030,0.05976,tp,d,time since metam at puberty,1001
0.99,5110,5070,0.00777,am,d,life span,5070
0.99,1.5,02.02,0.3469,Lj,cm,body length at metam,2.021
0.99,9,9.134,0.01486,Li,cm,ultimate body length,9.226
0.99,0.05,0.04522,0.09568,Wwb,g,wet weight at birth,0.04567
0.99,68.6,72.4,0.05541,Wwi,g,ultimate wet weight,75.34
0.99,4.11,3.603,0.1232,Ri,#/d,maximum reprod rate,3.879
0.98,35,35.18,0.005077,ab,d,age at birth,35.16
0.98,45.75,39.12,0.1449,tj,d,time since birth at metam,38.97
0.98,1095,1061,0.03103,tp,d,time since metam at puberty,1001
0.98,5110,5070,0.007751,am,d,life span,5070
0.98,1.5,2.019,0.3462,Lj,cm,body length at metam,2.021
0.98,9,9.041,0.004608,Li,cm,ultimate body length,9.226
0.98,0.05,0.04476,0.1048,Wwb,g,wet weight at birth,0.04567
0.98,68.6,69.55,0.01379,Wwi,g,ultimate wet weight,75.34
0.98,4.11,3.328,0.1901,Ri,#/d,maximum reprod rate,3.879
0.97,35,35.19,0.005365,ab,d,age at birth,35.16
0.97,45.75,39.2,0.1432,tj,d,time since birth at metam,38.97
0.97,1095,1096,0.000794,tp,d,time since metam at puberty,1001
0.97,5110,5070,0.007733,am,d,life span,5070
0.97,1.5,2.018,0.3454,Lj,cm,body length at metam,2.021
0.97,9,8.949,0.005643,Li,cm,ultimate body length,9.226
0.97,0.05,0.04431,0.1139,Wwb,g,wet weight at birth,0.04567
0.97,68.6,66.78,0.02659,Wwi,g,ultimate wet weight,75.34
0.97,4.11,3.055,0.2566,Ri,#/d,maximum reprod rate,3.879
0.96,35,35.2,0.00566,ab,d,age at birth,35.16
0.96,45.75,39.28,0.1415,tj,d,time since birth at metam,38.97
0.96,1095,1135,0.03632,tp,d,time since metam at puberty,1001
0.96,5110,5071,0.007715,am,d,life span,5070
0.96,1.5,2.017,0.3446,Lj,cm,body length at metam,2.021
0.96,9,8.857,0.01589,Li,cm,ultimate body length,9.226
0.96,0.05,0.04385,0.123,Wwb,g,wet weight at birth,0.04567
0.96,68.6,64.09,0.06575,Wwi,g,ultimate wet weight,75.34
0.96,4.11,2.783,0.3228,Ri,#/d,maximum reprod rate,3.879
0.95,35,35.21,0.00596,ab,d,age at birth,35.16
0.95,45.75,39.36,0.1397,tj,d,time since birth at metam,38.97
0.95,1095,1179,0.07633,tp,d,time since metam at puberty,1001
0.95,5110,5071,0.007698,am,d,life span,5070
0.95,1.5,2.016,0.3438,Lj,cm,body length at metam,2.021
0.95,9,8.765,0.02615,Li,cm,ultimate body length,9.226
0.95,0.05,0.0434,0.1321,Wwb,g,wet weight at birth,0.04567
0.95,68.6,61.48,0.1037,Wwi,g,ultimate wet weight,75.34
0.95,4.11,2.512,0.3887,Ri,#/d,maximum reprod rate,3.879
0.94,35,35.22,0.006266,ab,d,age at birth,35.16
0.94,45.75,39.44,0.1379,tj,d,time since birth at metam,38.97
0.94,1095,1228,0.1219,tp,d,time since metam at puberty,1001
0.94,5110,5071,0.007681,am,d,life span,5070
0.94,1.5,2.015,0.343,Lj,cm,body length at metam,2.021
0.94,9,8.672,0.0364,Li,cm,ultimate body length,9.226
0.94,0.05,0.04294,0.1412,Wwb,g,wet weight at birth,0.04567
0.94,68.6,58.96,0.1405,Wwi,g,ultimate wet weight,75.34
0.94,4.11,2.243,0.4543,Ri,#/d,maximum reprod rate,3.879
0.93,35,35.23,0.006579,ab,d,age at birth,35.16
0.93,45.75,39.52,0.1361,tj,d,time since birth at metam,38.97
0.93,1095,1286,0.1744,tp,d,time since metam at puberty,1001
0.93,5110,5071,0.007665,am,d,life span,5070
0.93,1.5,2.013,0.3422,Lj,cm,body length at metam,2.021
0.93,9,8.58,0.04665,Li,cm,ultimate body length,9.226
0.93,0.05,0.04249,0.1503,Wwb,g,wet weight at birth,0.04567
0.93,68.6,56.51,0.1762,Wwi,g,ultimate wet weight,75.34
0.93,4.11,1.974,0.5197,Ri,#/d,maximum reprod rate,3.879
