f,data,prd,RE,symbol,units,description,prd_f1
1,21,21.1,0.004748,tg,d,gestation time,21.1
1,23,19.03,0.1725,tx,d,time since birth at weaning,19.03
1,198,105,0.4696,tp,d,time since birth at puberty,105
1,1168,978.5,0.1623,am,d,life span,978.5
1,6,6.659,0.1099,Li,cm,ultimate total length,6.659
1,0.44,0.4651,0.05713,Wwb,g,wet weight at birth,0.4651
1,7.6,11.02,0.4506,Wwx,g,wet weight at weaning,11.02
1,8.2,12.08,0.4726,Wwp,g,wet weight at puberty,12.08
1,8.4,12.08,0.4376,Wwi,g,ultimate wet weight,12.08
1,0.04932,0.1602,2.249,Ri,#/d,maximum reprod rate,0.1602
0.99,21,21.1,0.004748,tg,d,gestation time,21.1
0.99,23,19.35,0.1586,tx,d,time since birth at weaning,19.03
0.99,198,110,0.4443,tp,d,time since birth at puberty,105
0.99,1168,996.3,0.147,am,d,life span,978.5
0.99,6,6.593,0.09877,Li,cm,ultimate total length,6.659
0.99,0.44,0.4619,0.0498,Wwb,g,wet weight at birth,0.4651
0.99,7.6,10.7,0.4075,Wwx,g,wet weight at weaning,11.02
0.99,8.2,11.64,0.419,Wwp,g,wet weight at puberty,12.08
0.99,8.4,11.64,0.3852,Wwi,g,ultimate wet weight,12.08
0.99,0.04932,0.1484,02.01,Ri,#/d,maximum reprod rate,0.1602
0.98,21,21.1,0.004748,tg,d,gestation time,21.1
0.98,23,19.69,0.1441,tx,d,time since birth at weaning,19.03
0.98,198,115.5,0.4165,tp,d,time since birth at puberty,105
0.98,1168,1014,0.1315,am,d,life span,978.5
0.98,6,6.526,0.08767,Li,cm,ultimate total length,6.659
0.98,0.44,0.4587,0.04246,Wwb,g,wet weight at birth,0.4651
0.98,7.6,10.37,0.3648,Wwx,g,wet weight at weaning,11.02
0.98,8.2,11.21,0.3668,Wwp,g,wet weight at puberty,12.08
0.98,8.4,11.21,0.3342,Wwi,g,ultimate wet weight,12.08
0.98,0.04932,0.1368,1.774,Ri,#/d,maximum reprod rate,0.1602
0.97,21,21.1,0.004748,tg,d,gestation time,21.1
0.97,23,20.04,0.1289,tx,d,time since birth at weaning,19.03
0.97,198,121.6,0.3857,tp,d,time since birth at puberty,105
0.97,1168,1033,0.1156,am,d,life span,978.5
0.97,6,6.459,0.07657,Li,cm,ultimate total length,6.659
