f,data,prd,RE,symbol,units,description,prd_f1
1,13.5,13.61,0.008182,ab,d,age at birth,13.61
1,12.5,12.61,0.008939,tx,d,time since birth at fledging,12.61
1,37.5,38.2,0.01873,tp,d,time since birth at puberty,38.2
1,365,365,0,tR,d,time since birth at 1st brood,365
1,6388,6210,0.02782,am,d,life span,6210
1,3.5,3.546,0.01305,Wwb,g,wet weight at birth,3.546
1,66.2,65.33,0.01309,Wwi,g,ultimate wet weight for female,65.33
1,0.01233,0.01245,0.009904,Ri,#/d,maximum reprod rate,0.01245
0.99,13.5,13.62,0.009053,ab,d,age at birth,13.61
0.99,12.5,12.74,0.01921,tx,d,time since birth at fledging,12.61
0.99,37.5,39.19,0.04494,tp,d,time since birth at puberty,38.2
0.99,365,365,0,tR,d,time since birth at 1st brood,365
0.99,6388,6228,0.02498,am,d,life span,6210
0.99,3.5,3.514,0.003942,Wwb,g,wet weight at birth,3.546
0.99,66.2,62.88,0.05012,Wwi,g,ultimate wet weight for female,65.33
0.99,0.01233,0.01159,0.06,Ri,#/d,maximum reprod rate,0.01245
0.98,13.5,13.63,0.00994,ab,d,age at birth,13.61
0.98,12.5,12.87,0.02988,tx,d,time since birth at fledging,12.61
0.98,37.5,40.26,0.07354,tp,d,time since birth at puberty,38.2
0.98,365,365,0,tR,d,time since birth at 1st brood,365
0.98,6388,6246,0.02218,am,d,life span,6210
0.98,3.5,3.482,0.005166,Wwb,g,wet weight at birth,3.546
0.98,66.2,60.5,0.0861,Wwi,g,ultimate wet weight for female,65.33
0.98,0.01233,0.01073,0.1293,Ri,#/d,maximum reprod rate,0.01245
0.97,13.5,13.65,0.01084,ab,d,age at birth,13.61
0.97,12.5,13.01,0.04098,tx,d,time since birth at fledging,12.61
0.97,37.5,41.43,0.1049,tp,d,time since birth at puberty,38.2
0.97,365,365,0,tR,d,time since birth at 1st brood,365
0.97,6388,6263,0.01942,am,d,life span,6210
0.97,3.5,3.45,0.01428,Wwb,g,wet weight at birth,3.546
0.97,66.2,58.19,0.1211,Wwi,g,ultimate wet weight for female,65.33
0.97,0.01233,0.009889,0.1979,Ri,#/d,maximum reprod rate,0.01245
0.96,13.5,13.66,0.01176,ab,d,age at birth,13.61
0.96,12.5,13.16,0.05253,tx,d,time since birth at fledging,12.61
0.96,37.5,42.73,0.1396,tp,d,time since birth at puberty,38.2
0.96,365,365,0,tR,d,time since birth at 1st brood,365
0.96,6388,6281,0.01671,am,d,life span,6210
0.96,3.5,3.418,0.02339,Wwb,g,wet weight at birth,3.546
0.96,66.2,55.94,0.155,Wwi,g,ultimate wet weight for female,65.33
0.96,0.01233,0.00905,0.2659,Ri,#/d,maximum reprod rate,0.01245
0.95,13.5,13.67,0.0127,ab,d,age at birth,13.61
0.95,12.5,13.31,0.06457,tx,d,time since birth at fledging,12.61
0.95,37.5,44.18,0.1782,tp,d,time since birth at puberty,38.2
0.95,365,365,0,tR,d,time since birth at 1st brood,365
